date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:31:18	68094/68094	---M-Z	200	added ('OK')	text/html	etag:%22109fe-5de1207d-28f9e0ad2927ebae;gz%22	https://bizedkhan.com/envato/experts/home.html	C:/Users/Made/Music/pac1/bizedkhan.com/envato/experts/home.html	(from )
22:31:19	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c7f7-77e7162c48e1045;gz%22	https://bizedkhan.com/robots.txt		(from )
22:31:19	1185/1185	---M--	200	added ('OK')	image/x-icon	etag:%224a1-5de11fe8-4ab0ed4890448033;;;%22	https://bizedkhan.com/envato/experts/favicon.ico	C:/Users/Made/Music/pac1/bizedkhan.com/envato/experts/favicon.ico	(from https://bizedkhan.com/envato/experts/home.html)
22:31:20	121260/121260	---M-Z	200	added ('OK')	text/css	etag:%221d9ac-5de11f92-f698fc25b15a13f9;gz%22	https://bizedkhan.com/envato/experts/css/bootstrap.min.css	C:/Users/Made/Music/pac1/bizedkhan.com/envato/experts/css/bootstrap.min.css	(from https://bizedkhan.com/envato/experts/home.html)
22:31:20	33233/33233	---M-Z	200	added ('OK')	text/css	etag:%2281d1-5de11f99-b1d6aee71e8ffd60;gz%22	https://bizedkhan.com/envato/experts/css/font-awesome.css	C:/Users/Made/Music/pac1/bizedkhan.com/envato/experts/css/font-awesome.css	(from https://bizedkhan.com/envato/experts/home.html)
22:31:20	13391/13391	---M-Z	200	added ('OK')	text/css	etag:%22344f-5de126ba-c175a56b50d07af7;gz%22	https://bizedkhan.com/envato/experts/css/menuzord.css	C:/Users/Made/Music/pac1/bizedkhan.com/envato/experts/css/menuzord.css	(from https://bizedkhan.com/envato/experts/home.html)
22:31:20	115264/115264	---M-Z	200	added ('OK')	text/css	etag:%221c240-5de11fa5-7e0c115a71bfca08;gz%22	https://bizedkhan.com/envato/experts/css/stroke-icon.css	C:/Users/Made/Music/pac1/bizedkhan.com/envato/experts/css/stroke-icon.css	(from https://bizedkhan.com/envato/experts/home.html)
22:31:20	1884/1884	---M-Z	200	added ('OK')	text/css	etag:%2275c-5de11f97-d5024ad10c66120;gz%22	https://bizedkhan.com/envato/experts/css/demo.css	C:/Users/Made/Music/pac1/bizedkhan.com/envato/experts/css/demo.css	(from https://bizedkhan.com/envato/experts/home.html)
22:31:21	19998/19998	---M-Z	200	added ('OK')	text/css	etag:%224e1e-5de11f9a-72c416ad0e02c71a;gz%22	https://bizedkhan.com/envato/experts/css/ie7.css	C:/Users/Made/Music/pac1/bizedkhan.com/envato/experts/css/ie7.css	(from https://bizedkhan.com/envato/experts/home.html)
22:31:21	145274/145274	---M-Z	200	added ('OK')	text/css	etag:%222377a-5de11f7f-ab792fa966df4f3b;gz%22	https://bizedkhan.com/envato/experts/css/bootFolio.css	C:/Users/Made/Music/pac1/bizedkhan.com/envato/experts/css/bootFolio.css	(from https://bizedkhan.com/envato/experts/home.html)
22:31:21	7806/7806	---M-Z	200	added ('OK')	text/css	etag:%221e7e-5de11f9e-ab09a777bf05513e;gz%22	https://bizedkhan.com/envato/experts/css/magnific-popup.css	C:/Users/Made/Music/pac1/bizedkhan.com/envato/experts/css/magnific-popup.css	(from https://bizedkhan.com/envato/experts/home.html)
22:31:21	34459/34459	---M-Z	200	added ('OK')	text/css	etag:%22869b-5de11f9c-4404b67c10d793a9;gz%22	https://bizedkhan.com/envato/experts/css/jquery-ui.css	C:/Users/Made/Music/pac1/bizedkhan.com/envato/experts/css/jquery-ui.css	(from https://bizedkhan.com/envato/experts/home.html)
22:31:22	1512/1512	---M-Z	200	added ('OK')	text/css	etag:%225e8-5de11fa2-e36462cd9073a14c;gz%22	https://bizedkhan.com/envato/experts/css/owl.theme.default.css	C:/Users/Made/Music/pac1/bizedkhan.com/envato/experts/css/owl.theme.default.css	(from https://bizedkhan.com/envato/experts/home.html)
22:31:22	4614/4614	---M-Z	200	added ('OK')	text/css	etag:%221206-5de11fa1-f870b1c2c319e881;gz%22	https://bizedkhan.com/envato/experts/css/owl.carousel.css	C:/Users/Made/Music/pac1/bizedkhan.com/envato/experts/css/owl.carousel.css	(from https://bizedkhan.com/envato/experts/home.html)
22:31:22	34481/34481	---M-Z	200	added ('OK')	text/css	etag:%2286b1-5de123f1-5a62935cdddc1980;gz%22	https://bizedkhan.com/envato/experts/revolution/css/settings.css	C:/Users/Made/Music/pac1/bizedkhan.com/envato/experts/revolution/css/settings.css	(from https://bizedkhan.com/envato/experts/home.html)
22:31:22	97874/97874	---M-Z	200	added ('OK')	text/css	etag:%2217e52-5de123d4-11555dce3e2ee29c;gz%22	https://bizedkhan.com/envato/experts/revolution/css/layers.css	C:/Users/Made/Music/pac1/bizedkhan.com/envato/experts/revolution/css/layers.css	(from https://bizedkhan.com/envato/experts/home.html)
22:31:23	59567/59567	---M-Z	200	added ('OK')	text/css	etag:%22e8af-5de123ee-eb9ebdac4e123498;gz%22	https://bizedkhan.com/envato/experts/revolution/css/navigation.css	C:/Users/Made/Music/pac1/bizedkhan.com/envato/experts/revolution/css/navigation.css	(from https://bizedkhan.com/envato/experts/home.html)
22:31:23	164592/164592	---M-Z	200	added ('OK')	text/css	etag:%22282f0-5e6df0a4-4c12c60cfd8255d3;gz%22	https://bizedkhan.com/envato/experts/css/style.css	C:/Users/Made/Music/pac1/bizedkhan.com/envato/experts/css/style.css	(from https://bizedkhan.com/envato/experts/home.html)
22:31:23	2162/2162	---M--	200	added ('OK')	image/png	etag:%22872-5e6dc65d-f073527931d675d4;;;%22	https://bizedkhan.com/envato/experts/images/logo.png	C:/Users/Made/Music/pac1/bizedkhan.com/envato/experts/images/logo.png	(from https://bizedkhan.com/envato/experts/home.html)
